Date,ADA,BCH,BTC,ETH,LINK,LTC,USDC,USDT
2022-09-23,0.4618209898471832,120.06118774414062,19297.638671875,1328.259521484375,7.4476189613342285,55.08971405029297,0.9999930262565613,0.9999809861183167
2022-09-24,0.45159998536109924,117.92076873779297,18937.01171875,1317.9932861328125,7.636966228485107,53.5192985534668,0.9999729990959167,1.0000499486923218
2022-09-25,0.4461880028247833,113.50005340576172,18802.09765625,1294.216796875,7.865859031677246,52.63199996948242,0.9999679923057556,1.000054955482483
2022-09-26,0.4467569887638092,116.20259857177734,19222.671875,1335.3201904296875,7.928506851196289,53.432064056396484,1.0001649856567383,0.9999899864196777
2022-09-27,0.44189000129699707,114.40727996826172,19110.546875,1330.127685546875,8.074233055114746,52.73725891113281,1.0001230239868164,0.9999799728393555
2022-09-28,0.4372900128364563,114.26228332519531,19426.720703125,1337.410888671875,7.814181804656982,53.30842590332031,1.0000109672546387,0.9999759793281555
2022-09-29,0.4381699860095978,116.74011993408203,19573.05078125,1335.65234375,7.901172161102295,53.91404724121094,1.0001239776611328,1.0000790357589722
2022-09-30,0.43441399931907654,120.04029846191406,19431.7890625,1327.9786376953125,7.581145763397217,53.397037506103516,1.0000660419464111,1.0000489950180054
2022-10-01,0.4302929937839508,117.18318939208984,19312.095703125,1311.6444091796875,7.387452125549316,52.90686798095703,0.9999840259552002,1.0000430345535278
2022-10-02,0.41963300108909607,114.40396881103516,19044.107421875,1276.093505859375,7.13367223739624,51.9116325378418,0.9999909996986389,1.000059962272644
2022-10-03,0.42799800634384155,116.26018524169922,19623.580078125,1323.439208984375,7.335093021392822,54.17620849609375,0.9999269843101501,1.0000890493392944
2022-10-04,0.43576499819755554,121.24559783935547,20336.84375,1362.1265869140625,7.72127103805542,55.2984619140625,0.9999319911003113,1.000251054763794
2022-10-05,0.4312730133533478,122.21883392333984,20160.716796875,1352.837158203125,7.875545024871826,54.579307556152344,0.9999380111694336,1.0001089572906494
2022-10-06,0.4286870062351227,118.43882751464844,19955.443359375,1351.70947265625,7.637218952178955,53.49364471435547,0.9999690055847168,1.000143051147461
2022-10-07,0.4243200123310089,116.79872131347656,19546.849609375,1332.5169677734375,7.606438159942627,52.866939544677734,1.000022053718567,1.0001219511032104
2022-10-08,0.4217360019683838,116.97750854492188,19416.568359375,1315.50048828125,7.448554992675781,52.79837417602539,1.0001469850540161,1.0000829696655273
2022-10-09,0.4230720102787018,117.22793579101562,19446.42578125,1322.604248046875,7.62626314163208,53.910037994384766,0.9999930262565613,1.0001579523086548
2022-10-10,0.4018009901046753,111.73036193847656,19141.484375,1291.337646484375,7.381631851196289,52.75587463378906,0.9999409914016724,1.0000180006027222
2022-10-11,0.3905400037765503,111.11306762695312,19051.41796875,1279.57568359375,7.128554821014404,52.0184211730957,1.0000250339508057,0.9999009966850281
2022-10-12,0.3813000023365021,111.90184020996094,19157.4453125,1294.9063720703125,7.149956226348877,52.22134780883789,0.9999619722366333,0.9999920129776001
2022-10-13,0.3776380121707916,108.9775390625,19382.904296875,1288.1239013671875,7.038730144500732,51.24348449707031,1.0000159740447998,1.0000790357589722
2022-10-14,0.36685100197792053,107.54891204833984,19185.65625,1297.422119140625,6.896554946899414,51.3155632019043,0.9999949932098389,1.000074028968811
2022-10-15,0.36374399065971375,108.06718444824219,19067.634765625,1274.8717041015625,6.886902809143066,50.469181060791016,0.9999300241470337,1.000087022781372
2022-10-16,0.37028101086616516,110.33349609375,19268.09375,1306.296630859375,7.175411224365234,51.480918884277344,0.9999529719352722,1.0000569820404053
2022-10-17,0.3723450005054474,110.58451080322266,19550.7578125,1331.713623046875,7.333412170410156,51.84383773803711,0.9999849796295166,1.00006902217865
2022-10-18,0.3618200123310089,108.72208404541016,19334.416015625,1310.447021484375,7.117894172668457,51.87700271606445,0.9999979734420776,1.0001059770584106
2022-10-19,0.3500320017337799,106.15585327148438,19139.53515625,1285.7442626953125,6.778677940368652,50.98663330078125,1.000054955482483,1.000059962272644
2022-10-20,0.340254008769989,106.39016723632812,19053.740234375,1283.200927734375,6.666734218597412,51.191001892089844,1.0,0.9999939799308777
2022-10-21,0.3490769863128662,107.005615234375,19172.46875,1299.9464111328125,6.813488960266113,51.62337112426758,1.0000139474868774,1.0001230239868164
2022-10-22,0.351408988237381,108.70037078857422,19208.189453125,1314.2991943359375,6.870748996734619,52.180171966552734,1.0000289678573608,1.0000849962234497
2022-10-23,0.3620989918708801,110.88642120361328,19567.0078125,1363.447021484375,7.0656352043151855,53.95036697387695,1.0000300407409668,1.0000770092010498
2022-10-24,0.35785698890686035,107.93132781982422,19345.572265625,1344.99853515625,6.913847923278809,52.569244384765625,0.9999799728393555,1.0000569820404053
2022-10-25,0.4019879996776581,112.79578399658203,20095.857421875,1461.6654052734375,7.080036163330078,56.02515411376953,0.999966025352478,1.0002080202102661
2022-10-26,0.4034920036792755,114.58954620361328,20770.44140625,1566.566650390625,7.15816593170166,56.39167785644531,1.0000269412994385,1.0001989603042603
2022-10-27,0.3886969983577728,112.5551528930664,20285.8359375,1514.3748779296875,6.908006191253662,54.80760955810547,0.9999690055847168,1.0000920295715332
