Date,BTC,ETH
2020-01-01,7200.17431640625,130.802001953125
2020-01-02,6985.47021484375,127.4101791381836
2020-01-03,7344.88427734375,134.1717071533203
2020-01-04,7410.65673828125,135.06936645507812
2020-01-05,7411.3173828125,136.2767791748047
2020-01-06,7769.21923828125,144.3041534423828
2020-01-07,8163.6923828125,143.5439910888672
2020-01-08,8079.86279296875,141.2581329345703
2020-01-09,7879.0712890625,138.9792022705078
2020-01-10,8166.55419921875,143.96377563476562
2020-01-11,8037.53759765625,142.92710876464844
2020-01-12,8192.494140625,145.87393188476562
2020-01-13,8144.1943359375,144.22659301757812
2020-01-14,8827.7646484375,165.95535278320312
2020-01-15,8807.0107421875,166.23068237304688
2020-01-16,8723.7861328125,164.39100646972656
2020-01-17,8929.0380859375,170.7799530029297
2020-01-18,8942.80859375,175.3656768798828
2020-01-19,8706.2451171875,166.9698486328125
2020-01-20,8657.642578125,167.12051391601562
2020-01-21,8745.89453125,169.69715881347656
2020-01-22,8680.8759765625,168.29415893554688
2020-01-23,8406.515625,162.92855834960938
2020-01-24,8445.4345703125,163.05117797851562
2020-01-25,8367.84765625,161.283935546875
2020-01-26,8596.830078125,168.0771026611328
2020-01-27,8909.8193359375,170.93089294433594
2020-01-28,9358.58984375,176.3703155517578
2020-01-29,9316.6298828125,175.0503387451172
2020-01-30,9508.9931640625,184.6904754638672
2020-01-31,9350.529296875,180.16017150878906
2020-02-01,9392.875,183.6739501953125
2020-02-02,9344.365234375,188.61753845214844
2020-02-03,9293.521484375,189.8650665283203
2020-02-04,9180.962890625,189.25059509277344
2020-02-05,9613.423828125,204.23023986816406
2020-02-06,9729.8017578125,212.33908081054688
2020-02-07,9795.943359375,222.72605895996094
2020-02-08,9865.119140625,223.14651489257812
2020-02-09,10116.673828125,228.5785675048828
2020-02-10,9856.611328125,223.522705078125
2020-02-11,10208.236328125,235.8511962890625
2020-02-12,10326.0546875,265.4061279296875
2020-02-13,10214.3798828125,268.0992431640625
2020-02-14,10312.1162109375,284.2174987792969
2020-02-15,9889.4248046875,264.72857666015625
2020-02-16,9934.43359375,259.89471435546875
2020-02-17,9690.142578125,266.3634338378906
2020-02-18,10141.99609375,281.944580078125
2020-02-19,9633.38671875,259.76397705078125
2020-02-20,9608.4755859375,257.949462890625
2020-02-21,9686.44140625,265.6006164550781
2020-02-22,9663.181640625,262.33172607421875
2020-02-23,9924.515625,273.754150390625
2020-02-24,9650.1748046875,265.2164306640625
2020-02-25,9341.705078125,247.81759643554688
2020-02-26,8820.5224609375,225.68026733398438
2020-02-27,8784.494140625,226.75338745117188
2020-02-28,8672.455078125,226.760498046875
2020-02-29,8599.5087890625,219.8485107421875
2020-03-01,8562.4541015625,218.97059631347656
2020-03-02,8869.669921875,230.5697784423828
2020-03-03,8787.7861328125,224.47962951660156
2020-03-04,8755.24609375,224.51797485351562
2020-03-05,9078.7626953125,229.2681884765625
2020-03-06,9122.5458984375,243.52529907226562
2020-03-07,8909.9541015625,237.85308837890625
2020-03-08,8108.1162109375,200.68905639648438
2020-03-09,7923.64453125,201.986328125
